"age";"name";"man";"woman"
"21 год";Ростовская область;8878;9618
"21 год";Рязанская область;1796;2504
"21 год";Самарская область;5980;7064
"21 год";Саратовская область;4233;5807
"21 год";Сахалинская область;202;290
"21 год";Свердловская область;7369;9889
"21 год";Смоленская область;1248;1837
"21 год";Ставропольский край;4065;5141
"21 год";Тамбовская область;1557;1955
"21 год";Тверская область;1129;1842
"21 год";Томская область;3875;4028
"21 год";Тульская область;2213;2443
"21 год";Тюменская область;3032;3869
"21 год";Удмуртская Республика;2311;3160
"21 год";Ульяновская область;2363;2521
"21 год";Хабаровский край;2448;2928
"21 год";Ханты-Мансийский автономный округ;1224;1589
"21 год";Челябинская область;4695;6585
"21 год";Чеченская Республика;2091;2150
"21 год";Чувашская Республика;2137;2777
"21 год";Чукотский автономный округ;3;2
"21 год";Ямало-Ненецкий автономный округ;6;1
"21 год";Ярославская область;1862;2677
"22 года";Алтайский край;2367;3309
"22 года";Амурская область;642;927
"22 года";Архангельская область;806;1008
"22 года";Астраханская область;1551;1671
"22 года";Белгородская область;2605;3535
"22 года";Брянская область;1384;1224
"22 года";Владимирская область;1304;1477
"22 года";Волгоградская область;3138;3692
"22 года";Вологодская область;796;1189
"22 года";Воронежская область;4424;5728
"22 года";г. Москва;40231;42313
"22 года";г.Санкт-Петербург;16162;18356
"22 года";г.Севастополь;719;550
"22 года";Еврейская автономная область;52;89
"22 года";Забайкальский край;752;1224
"22 года";Ивановская область;1117;1403
"22 года";Иркутская область;3116;3745
"22 года";Кабардино-Балкарская Республика;972;809
"22 года";Калининградская область;1083;1224
"22 года";Калужская область;832;1143
"22 года";Камчатский край;177;146
"22 года";Карачаево-Черкесская Республика;408;445
"22 года";Кемеровская область;2226;2691
"22 года";Кировская область;1171;1752
"22 года";Костромская область;399;599
"22 года";Краснодарский край;5470;7347
"22 года";Красноярский край;3924;3741
"22 года";Курганская область;622;814
"22 года";Курская область;1702;2622
"22 года";Ленинградская область;218;408
"22 года";Липецкая область;946;1153
"22 года";Магаданская область;103;145
"22 года";Московская область;3537;4681
"22 года";Мурманская область;345;313
"22 года";Нижегородская область;4715;5646
"22 года";Новгородская область;292;392
"22 года";Новосибирская область;4535;5978
"22 года";Омская область;3325;3652
"22 года";Оренбургская область;2119;2795
"22 года";Орловская область;1458;1584
"22 года";Пензенская область;2051;1759
"22 года";Пермский край;2906;3467
"22 года";Приморский край;2502;2790
"22 года";Псковская область;399;524
"22 года";Республика Адыгея;896;786
"22 года";Республика Алтай;109;158
"22 года";Республика Башкортостан;5171;6139
"22 года";Республика Бурятия;879;1174
"22 года";Республика Дагестан;2885;2731
"22 года";Республика Ингушетия;428;424
"22 года";Республика Калмыкия;542;478
"22 года";Республика Карелия;435;639
"22 года";Республика Коми;655;647
"22 года";Республика Крым;1671;1870
"22 года";Республика Марий Эл;964;1098
"22 года";Республика Мордовия;1438;1984
"22 года";Республика Саха (Якутия);1178;1355
"22 года";Республика Северная Осетия - Алания;1191;1209
"22 года";Республика Татарстан;8051;9028
"22 года";Республика Тыва;194;371
"22 года";Республика Хакасия;317;479
"22 года";Ростовская область;7295;7758
"22 года";Рязанская область;1429;2097
